epoch,train_loss,train_l2_loss,train_excange_proc,val_loss,val_l2_loss,val_excange_proc,test_loss,test_l2_loss,test_excange_proc,train_acc,val_acc,test_acc,diff,train_proc,eval_proc,comm_proc,timestamp,sleep_proc
73,0.9291647453792393,12190.9169921875,0.298971,0.7684334071874619,12190.43359375,0.0,0.974465109705925,12190.43359375,0.0,0.736640625,0.7357,0.6685,0.0,7.732084,11.583544,0.0,2022-10-31 19:38:26.686426,0.0
74,0.9255035733804107,12128.7509765625,0.29985600000000007,0.7892830262184143,12128.2607421875,0.0,0.9869709789752961,12128.2607421875,0.0,0.7290625,0.7264,0.6667,0.0,7.683893,11.588854,0.0,2022-10-31 19:38:45.959441,0.0
75,0.9172380217351019,12066.8935546875,0.362142,0.7551109595298767,12066.4140625,0.0,0.9688298720121383,12066.4140625,0.0,0.740390625,0.7397,0.6738,0.0,7.160424,11.545835,0.0,2022-10-31 19:39:04.665981,0.0
76,0.9147080751135945,12005.357421875,0.30193900000000007,0.8065937439203262,12004.875,0.0,1.0140870559215545,12004.875,0.0,0.723671875,0.72372,0.6587,0.0,7.767829,11.579936,0.0,2022-10-31 19:39:24.014028,0.0
77,0.8943869890645146,11944.138671875,0.2984100000000001,0.732696669459343,11943.6591796875,0.0,0.9576356607675552,11943.6591796875,0.0,0.746171875,0.748,0.6793,0.0,7.697746,11.579826,0.0,2022-10-31 19:39:43.291931,0.0
78,0.8863315242342651,11883.224609375,0.3037259999999999,0.7312228578329086,11882.75390625,0.0,0.9554140949249268,11882.75390625,0.0,0.75015625,0.74924,0.6815,0.0,7.727214,11.56782,0.0,2022-10-31 19:40:02.587263,0.0
79,0.8717855084687471,11822.6328125,0.3040069999999999,0.7549974057674408,11822.1611328125,0.0,0.9802681785821915,11822.1611328125,0.0,0.73796875,0.7406,0.6725,0.0,7.722332,11.590694,0.0,2022-10-31 19:40:21.900574,0.0
80,0.8711490356363356,11762.349609375,0.3014200000000001,0.8295913056135178,11761.87890625,0.0,1.0465307414531708,11761.87890625,0.0,0.715078125,0.71382,0.65,0.0,7.765958,11.585115,0.0,2022-10-31 19:40:41.251922,0.0
81,0.8645987180061638,11702.3681640625,0.28978000000000004,0.7631578214168548,11701.9052734375,0.0,0.9926825016736984,11701.9052734375,0.0,0.7403125,0.73766,0.6662,0.0,7.734713,11.597103,0.0,2022-10-31 19:41:00.584030,0.0
82,0.8562082210555673,11642.701171875,0.3196109999999999,0.712390418291092,11642.2353515625,0.0,0.9393174296617508,11642.2353515625,0.0,0.751875,0.75674,0.6857,0.0,7.54041,11.576736,0.0,2022-10-31 19:41:19.701457,0.0
83,0.8645927901379764,11583.3349609375,0.298989,0.70580073595047,11582.8720703125,0.0,0.9449100458621978,11582.8720703125,0.0,0.757421875,0.75726,0.6839,0.0,7.765895,11.660033,0.0,2022-10-31 19:41:39.127667,0.0
84,0.8600856568664312,11524.271484375,0.30671899999999985,0.7562695360779762,11523.8134765625,0.0,0.9994449663162231,11523.8134765625,0.0,0.73484375,0.73996,0.6708,0.0,7.695432,11.608293,0.0,2022-10-31 19:41:58.431709,0.0
85,0.8475691485218704,11465.5166015625,0.30142800000000003,0.744851023375988,11465.0576171875,0.0,1.0022238302230835,11465.0576171875,0.0,0.743359375,0.74552,0.6716,0.0,7.476286,11.601323,0.0,2022-10-31 19:42:17.509599,0.0
86,0.8418953125365078,11407.0595703125,0.317255,0.7969460979700088,11406.607421875,0.0,1.0432434159517288,11406.607421875,0.0,0.73,0.7294,0.6617,0.0,7.520657,11.59409,0.0,2022-10-31 19:42:36.624631,0.0
87,0.8268598676659167,11348.9013671875,0.42386800000000024,0.6942980689406395,11348.4521484375,0.0,0.9433103144168854,11348.4521484375,0.0,0.761796875,0.76148,0.6833,0.0,7.098516,11.644112,0.0,2022-10-31 19:42:55.367519,0.0
88,0.8433100902475417,11291.041015625,0.6869009999999997,0.6532204585075378,11290.5888671875,0.0,0.919799833893776,11290.5888671875,0.0,0.77421875,0.77556,0.6945,0.0,5.967466,11.581313,0.0,2022-10-31 19:43:12.916575,0.0
89,0.8169571803882718,11233.4794921875,0.6130899999999997,0.6474790115356446,11233.02734375,0.0,0.9213574302196502,11233.02734375,0.0,0.780703125,0.77766,0.6911,0.0,6.297638,11.535298,0.0,2022-10-31 19:43:30.749790,0.0
90,0.8198044537566602,11176.2060546875,0.30168,0.7519317247271537,11175.7568359375,0.0,1.016111432313919,11175.7568359375,0.0,0.7425,0.74066,0.6695,0.0,7.675038,11.542847,0.0,2022-10-31 19:43:49.967950,0.0
91,0.8050340795889497,11119.2255859375,0.29895,0.6466409429311752,11118.78515625,0.0,0.9231234520673752,11118.78515625,0.0,0.7821875,0.77724,0.6918,0.0,7.60628,11.552632,0.0,2022-10-31 19:44:09.127161,0.0
92,0.8022706927731633,11062.5498046875,0.28344500000000017,0.6444656288027764,11062.1083984375,0.0,0.9324882835149765,11062.1083984375,0.0,0.7840625,0.77892,0.6904,0.0,7.692558,11.551735,0.0,2022-10-31 19:44:28.371730,0.0
93,0.7940296097658575,11006.154296875,0.30096799999999985,0.649507761836052,11005.720703125,0.0,0.9383535033464432,11005.720703125,0.0,0.775,0.77884,0.694,0.0,7.540097,11.571825,0.0,2022-10-31 19:44:47.483941,0.0
94,0.7876209593378007,10950.052734375,0.2928,0.6473217515349388,10949.615234375,0.0,0.9377330189943314,10949.615234375,0.0,0.783515625,0.7786,0.6884,0.0,7.695334,11.562453,0.0,2022-10-31 19:45:06.742006,0.0
95,0.7900200509466231,10894.2333984375,0.2797120000000001,0.6503252916932106,10893.8037109375,0.0,0.9502577984333038,10893.8037109375,0.0,0.780546875,0.77816,0.6866,0.0,7.586004,11.548576,0.0,2022-10-31 19:45:25.876886,0.0
96,0.7856083433143795,10838.708984375,0.3045899999999999,0.6336051732301712,10838.2763671875,0.0,0.9404763370752335,10838.2763671875,0.0,0.7828125,0.78172,0.6886,0.0,7.460305,11.587924,0.0,2022-10-31 19:45:44.925407,0.0
97,0.7765511916950345,10783.4609375,0.300921,0.6269684471487998,10783.033203125,0.0,0.9160010749101639,10783.033203125,0.0,0.7859375,0.78448,0.6917,0.0,7.600222,11.736928,0.0,2022-10-31 19:46:04.262822,0.0
98,0.7735487702302635,10728.4970703125,0.2919169999999999,0.6151149152517319,10728.0703125,0.0,0.9155630046129226,10728.0703125,0.0,0.787890625,0.79008,0.6984,0.0,7.670511,11.52671,0.0,2022-10-31 19:46:23.460336,0.0
